A: Number,A: Height,A: Jump duration,B: Number,B: Height,B: Jump duration
2,500,5.85,2,800,3.85
2,500,5.85,3,800,1.7
2,500,5.85,4,500,1.55
2,800,3.85,3,800,1.7
3,200,5.7,3,800,1.7
3,200,5.7,4,500,1.55
3,200,5.7,4,200,3.55
4,200,3.55,4,500,1.55
2,800,3.85,2,500,5.85
2,800,3.85,3,200,5.7
3,800,1.7,3,200,5.7
3,800,1.7,4,200,3.55
4,500,1.55,4,200,3.55
2,500,5.85,3,200,5.7
2,500,5.85,4,200,3.55
2,800,3.85,4,500,1.55
2,800,3.85,4,200,3.55
3,800,1.7,4,500,1.55
3,200,5.7,2,500,5.85
3,800,1.7,2,800,3.85
3,500,1.7,2,500,5.85
4,500,1.55,2,800,3.85
4,500,1.55,3,800,1.7
4,200,3.55,2,500,5.85
4,200,3.55,2,800,3.85
4,200,3.55,3,200,5.7
3,200,5.7,2,800,3.85
4,200,3.55,3,800,1.7
3,800,1.7,2,500,5.85
4,500,1.55,3,200,5.7
